context,actual_next_token,predicted_next_token,is_correct
tensor([[23]]),1,1,True
"tensor([[23,  1]])",20,20,True
"tensor([[23,  1, 20]])",1,1,True
"tensor([[23,  1, 20,  1]])",13,11,False
"tensor([[23,  1, 20,  1, 13]])",0,0,True
"tensor([[23,  1, 20,  1, 13,  0]])",25,23,False
"tensor([[23,  1, 20,  1, 13,  0, 25]])",1,1,True
"tensor([[23,  1, 20,  1, 13,  0, 25,  1]])",20,20,True
"tensor([[23,  1, 20,  1, 13,  0, 25,  1, 20]])",1,1,True
"tensor([[23,  1, 20,  1, 13,  0, 25,  1, 20,  1]])",19,13,False
"tensor([[23,  1, 20,  1, 13,  0, 25,  1, 20,  1, 19]])",0,0,True
"tensor([[23,  1, 20,  1, 13,  0, 25,  1, 20,  1, 19,  0]])",25,29,False
"tensor([[23,  1, 20,  1, 13,  0, 25,  1, 20,  1, 19,  0, 25]])",1,1,True
"tensor([[23,  1, 20,  1, 13,  0, 25,  1, 20,  1, 19,  0, 25,  1]])",20,20,True
"tensor([[23,  1, 20,  1, 13,  0, 25,  1, 20,  1, 19,  0, 25,  1, 20]])",1,1,True
"tensor([[23,  1, 20,  1, 13,  0, 25,  1, 20,  1, 19,  0, 25,  1, 20,  1]])",10,12,False
"tensor([[23,  1, 20,  1, 13,  0, 25,  1, 20,  1, 19,  0, 25,  1, 20,  1, 10]])",1,0,False
"tensor([[23,  1, 20,  1, 13,  0, 25,  1, 20,  1, 19,  0, 25,  1, 20,  1, 10,  1]])",5,6,False
"tensor([[23,  1, 20,  1, 13,  0, 25,  1, 20,  1, 19,  0, 25,  1, 20,  1, 10,  1,
          5]])",1,1,True
"tensor([[23,  1, 20,  1, 13,  0, 25,  1, 20,  1, 19,  0, 25,  1, 20,  1, 10,  1,
          5,  1]])",23,25,False
"tensor([[23,  1, 20,  1, 13,  0, 25,  1, 20,  1, 19,  0, 25,  1, 20,  1, 10,  1,
          5,  1, 23]])",0,0,True
"tensor([[23,  1, 20,  1, 13,  0, 25,  1, 20,  1, 19,  0, 25,  1, 20,  1, 10,  1,
          5,  1, 23,  0]])",29,29,True
"tensor([[23,  1, 20,  1, 13,  0, 25,  1, 20,  1, 19,  0, 25,  1, 20,  1, 10,  1,
          5,  1, 23,  0, 29]])",30,30,True
"tensor([[23,  1, 20,  1, 13,  0, 25,  1, 20,  1, 19,  0, 25,  1, 20,  1, 10,  1,
          5,  1, 23,  0, 29, 30]])",26,26,True
"tensor([[23,  1, 20,  1, 13,  0, 25,  1, 20,  1, 19,  0, 25,  1, 20,  1, 10,  1,
          5,  1, 23,  0, 29, 30, 26]])",27,27,True
"tensor([[23,  1, 20,  1, 13,  0, 25,  1, 20,  1, 19,  0, 25,  1, 20,  1, 10,  1,
          5,  1, 23,  0, 29, 30, 26, 27]])",31,31,True
"tensor([[23,  1, 20,  1, 13,  0, 25,  1, 20,  1, 19,  0, 25,  1, 20,  1, 10,  1,
          5,  1, 23,  0, 29, 30, 26, 27, 31]])",3,3,True
"tensor([[23,  1, 20,  1, 13,  0, 25,  1, 20,  1, 19,  0, 25,  1, 20,  1, 10,  1,
          5,  1, 23,  0, 29, 30, 26, 27, 31,  3]])",25,25,True
"tensor([[23,  1, 20,  1, 13,  0, 25,  1, 20,  1, 19,  0, 25,  1, 20,  1, 10,  1,
          5,  1, 23,  0, 29, 30, 26, 27, 31,  3, 25]])",4,4,True
"tensor([[23,  1, 20,  1, 13,  0, 25,  1, 20,  1, 19,  0, 25,  1, 20,  1, 10,  1,
          5,  1, 23,  0, 29, 30, 26, 27, 31,  3, 25,  4]])",0,0,True
"tensor([[23,  1, 20,  1, 13,  0, 25,  1, 20,  1, 19,  0, 25,  1, 20,  1, 10,  1,
          5,  1, 23,  0, 29, 30, 26, 27, 31,  3, 25,  4,  0]])",2,2,True
"tensor([[23,  1, 20,  1, 13,  0, 25,  1, 20,  1, 19,  0, 25,  1, 20,  1, 10,  1,
          5,  1, 23,  0, 29, 30, 26, 27, 31,  3, 25,  4,  0,  2]])",1,1,True
"tensor([[23,  1, 20,  1, 13,  0, 25,  1, 20,  1, 19,  0, 25,  1, 20,  1, 10,  1,
          5,  1, 23,  0, 29, 30, 26, 27, 31,  3, 25,  4,  0,  2,  1]])",28,28,True
"tensor([[23,  1, 20,  1, 13,  0, 25,  1, 20,  1, 19,  0, 25,  1, 20,  1, 10,  1,
          5,  1, 23,  0, 29, 30, 26, 27, 31,  3, 25,  4,  0,  2,  1, 28]])",32,32,True
"tensor([[23,  1, 20,  1, 13,  0, 25,  1, 20,  1, 19,  0, 25,  1, 20,  1, 10,  1,
          5,  1, 23,  0, 29, 30, 26, 27, 31,  3, 25,  4,  0,  2,  1, 28, 32]])",31,31,True
"tensor([[23,  1, 20,  1, 13,  0, 25,  1, 20,  1, 19,  0, 25,  1, 20,  1, 10,  1,
          5,  1, 23,  0, 29, 30, 26, 27, 31,  3, 25,  4,  0,  2,  1, 28, 32, 31]])",29,29,True
"tensor([[23,  1, 20,  1, 13,  0, 25,  1, 20,  1, 19,  0, 25,  1, 20,  1, 10,  1,
          5,  1, 23,  0, 29, 30, 26, 27, 31,  3, 25,  4,  0,  2,  1, 28, 32, 31,
         29]])",32,32,True
"tensor([[23,  1, 20,  1, 13,  0, 25,  1, 20,  1, 19,  0, 25,  1, 20,  1, 10,  1,
          5,  1, 23,  0, 29, 30, 26, 27, 31,  3, 25,  4,  0,  2,  1, 28, 32, 31,
         29, 32]])",31,31,True
"tensor([[23,  1, 20,  1, 13,  0, 25,  1, 20,  1, 19,  0, 25,  1, 20,  1, 10,  1,
          5,  1, 23,  0, 29, 30, 26, 27, 31,  3, 25,  4,  0,  2,  1, 28, 32, 31,
         29, 32, 31]])",0,0,True
"tensor([[23,  1, 20,  1, 13,  0, 25,  1, 20,  1, 19,  0, 25,  1, 20,  1, 10,  1,
          5,  1, 23,  0, 29, 30, 26, 27, 31,  3, 25,  4,  0,  2,  1, 28, 32, 31,
         29, 32, 31,  0]])",2,2,True
"tensor([[23,  1, 20,  1, 13,  0, 25,  1, 20,  1, 19,  0, 25,  1, 20,  1, 10,  1,
          5,  1, 23,  0, 29, 30, 26, 27, 31,  3, 25,  4,  0,  2,  1, 28, 32, 31,
         29, 32, 31,  0,  2]])",1,1,True
"tensor([[23,  1, 20,  1, 13,  0, 25,  1, 20,  1, 19,  0, 25,  1, 20,  1, 10,  1,
          5,  1, 23,  0, 29, 30, 26, 27, 31,  3, 25,  4,  0,  2,  1, 28, 32, 31,
         29, 32, 31,  0,  2,  1]])",10,10,True
tensor([[25]]),1,4,False
"tensor([[25,  1]])",20,20,True
"tensor([[25,  1, 20]])",1,1,True
"tensor([[25,  1, 20,  1]])",12,10,False
"tensor([[25,  1, 20,  1, 12]])",0,0,True
"tensor([[25,  1, 20,  1, 12,  0]])",21,25,False
"tensor([[25,  1, 20,  1, 12,  0, 21]])",1,1,True
"tensor([[25,  1, 20,  1, 12,  0, 21,  1]])",20,20,True
"tensor([[25,  1, 20,  1, 12,  0, 21,  1, 20]])",1,1,True
"tensor([[25,  1, 20,  1, 12,  0, 21,  1, 20,  1]])",16,19,False
"tensor([[25,  1, 20,  1, 12,  0, 21,  1, 20,  1, 16]])",0,0,True
"tensor([[25,  1, 20,  1, 12,  0, 21,  1, 20,  1, 16,  0]])",23,29,False
"tensor([[25,  1, 20,  1, 12,  0, 21,  1, 20,  1, 16,  0, 23]])",1,1,True
"tensor([[25,  1, 20,  1, 12,  0, 21,  1, 20,  1, 16,  0, 23,  1]])",20,20,True
"tensor([[25,  1, 20,  1, 12,  0, 21,  1, 20,  1, 16,  0, 23,  1, 20]])",1,1,True
"tensor([[25,  1, 20,  1, 12,  0, 21,  1, 20,  1, 16,  0, 23,  1, 20,  1]])",21,14,False
"tensor([[25,  1, 20,  1, 12,  0, 21,  1, 20,  1, 16,  0, 23,  1, 20,  1, 21]])",1,1,True
"tensor([[25,  1, 20,  1, 12,  0, 21,  1, 20,  1, 16,  0, 23,  1, 20,  1, 21,  1]])",9,9,True
"tensor([[25,  1, 20,  1, 12,  0, 21,  1, 20,  1, 16,  0, 23,  1, 20,  1, 21,  1,
          9]])",1,1,True
"tensor([[25,  1, 20,  1, 12,  0, 21,  1, 20,  1, 16,  0, 23,  1, 20,  1, 21,  1,
          9,  1]])",14,21,False
"tensor([[25,  1, 20,  1, 12,  0, 21,  1, 20,  1, 16,  0, 23,  1, 20,  1, 21,  1,
          9,  1, 14]])",0,0,True
"tensor([[25,  1, 20,  1, 12,  0, 21,  1, 20,  1, 16,  0, 23,  1, 20,  1, 21,  1,
          9,  1, 14,  0]])",29,29,True
"tensor([[25,  1, 20,  1, 12,  0, 21,  1, 20,  1, 16,  0, 23,  1, 20,  1, 21,  1,
          9,  1, 14,  0, 29]])",30,30,True
"tensor([[25,  1, 20,  1, 12,  0, 21,  1, 20,  1, 16,  0, 23,  1, 20,  1, 21,  1,
          9,  1, 14,  0, 29, 30]])",26,26,True
"tensor([[25,  1, 20,  1, 12,  0, 21,  1, 20,  1, 16,  0, 23,  1, 20,  1, 21,  1,
          9,  1, 14,  0, 29, 30, 26]])",27,27,True
"tensor([[25,  1, 20,  1, 12,  0, 21,  1, 20,  1, 16,  0, 23,  1, 20,  1, 21,  1,
          9,  1, 14,  0, 29, 30, 26, 27]])",31,31,True
"tensor([[25,  1, 20,  1, 12,  0, 21,  1, 20,  1, 16,  0, 23,  1, 20,  1, 21,  1,
          9,  1, 14,  0, 29, 30, 26, 27, 31]])",3,3,True
"tensor([[25,  1, 20,  1, 12,  0, 21,  1, 20,  1, 16,  0, 23,  1, 20,  1, 21,  1,
          9,  1, 14,  0, 29, 30, 26, 27, 31,  3]])",23,23,True
"tensor([[25,  1, 20,  1, 12,  0, 21,  1, 20,  1, 16,  0, 23,  1, 20,  1, 21,  1,
          9,  1, 14,  0, 29, 30, 26, 27, 31,  3, 23]])",4,4,True
"tensor([[25,  1, 20,  1, 12,  0, 21,  1, 20,  1, 16,  0, 23,  1, 20,  1, 21,  1,
          9,  1, 14,  0, 29, 30, 26, 27, 31,  3, 23,  4]])",0,0,True
"tensor([[25,  1, 20,  1, 12,  0, 21,  1, 20,  1, 16,  0, 23,  1, 20,  1, 21,  1,
          9,  1, 14,  0, 29, 30, 26, 27, 31,  3, 23,  4,  0]])",2,2,True
"tensor([[25,  1, 20,  1, 12,  0, 21,  1, 20,  1, 16,  0, 23,  1, 20,  1, 21,  1,
          9,  1, 14,  0, 29, 30, 26, 27, 31,  3, 23,  4,  0,  2]])",1,1,True
"tensor([[25,  1, 20,  1, 12,  0, 21,  1, 20,  1, 16,  0, 23,  1, 20,  1, 21,  1,
          9,  1, 14,  0, 29, 30, 26, 27, 31,  3, 23,  4,  0,  2,  1]])",28,28,True
"tensor([[25,  1, 20,  1, 12,  0, 21,  1, 20,  1, 16,  0, 23,  1, 20,  1, 21,  1,
          9,  1, 14,  0, 29, 30, 26, 27, 31,  3, 23,  4,  0,  2,  1, 28]])",32,32,True
"tensor([[25,  1, 20,  1, 12,  0, 21,  1, 20,  1, 16,  0, 23,  1, 20,  1, 21,  1,
          9,  1, 14,  0, 29, 30, 26, 27, 31,  3, 23,  4,  0,  2,  1, 28, 32]])",31,31,True
"tensor([[25,  1, 20,  1, 12,  0, 21,  1, 20,  1, 16,  0, 23,  1, 20,  1, 21,  1,
          9,  1, 14,  0, 29, 30, 26, 27, 31,  3, 23,  4,  0,  2,  1, 28, 32, 31]])",29,29,True
"tensor([[25,  1, 20,  1, 12,  0, 21,  1, 20,  1, 16,  0, 23,  1, 20,  1, 21,  1,
          9,  1, 14,  0, 29, 30, 26, 27, 31,  3, 23,  4,  0,  2,  1, 28, 32, 31,
         29]])",32,32,True
"tensor([[25,  1, 20,  1, 12,  0, 21,  1, 20,  1, 16,  0, 23,  1, 20,  1, 21,  1,
          9,  1, 14,  0, 29, 30, 26, 27, 31,  3, 23,  4,  0,  2,  1, 28, 32, 31,
         29, 32]])",31,31,True
"tensor([[25,  1, 20,  1, 12,  0, 21,  1, 20,  1, 16,  0, 23,  1, 20,  1, 21,  1,
          9,  1, 14,  0, 29, 30, 26, 27, 31,  3, 23,  4,  0,  2,  1, 28, 32, 31,
         29, 32, 31]])",0,0,True
"tensor([[25,  1, 20,  1, 12,  0, 21,  1, 20,  1, 16,  0, 23,  1, 20,  1, 21,  1,
          9,  1, 14,  0, 29, 30, 26, 27, 31,  3, 23,  4,  0,  2,  1, 28, 32, 31,
         29, 32, 31,  0]])",2,2,True
"tensor([[25,  1, 20,  1, 12,  0, 21,  1, 20,  1, 16,  0, 23,  1, 20,  1, 21,  1,
          9,  1, 14,  0, 29, 30, 26, 27, 31,  3, 23,  4,  0,  2,  1, 28, 32, 31,
         29, 32, 31,  0,  2]])",1,1,True
"tensor([[25,  1, 20,  1, 12,  0, 21,  1, 20,  1, 16,  0, 23,  1, 20,  1, 21,  1,
          9,  1, 14,  0, 29, 30, 26, 27, 31,  3, 23,  4,  0,  2,  1, 28, 32, 31,
         29, 32, 31,  0,  2,  1]])",11,11,True
"tensor([[25,  1, 20,  1, 12,  0, 21,  1, 20,  1, 16,  0, 23,  1, 20,  1, 21,  1,
          9,  1, 14,  0, 29, 30, 26, 27, 31,  3, 23,  4,  0,  2,  1, 28, 32, 31,
         29, 32, 31,  0,  2,  1, 11]])",8,8,True
"tensor([[25,  1, 20,  1, 12,  0, 21,  1, 20,  1, 16,  0, 23,  1, 20,  1, 21,  1,
          9,  1, 14,  0, 29, 30, 26, 27, 31,  3, 23,  4,  0,  2,  1, 28, 32, 31,
         29, 32, 31,  0,  2,  1, 11,  8]])",15,15,True
tensor([[25]]),1,1,True
"tensor([[25,  1]])",20,20,True
"tensor([[25,  1, 20]])",1,1,True
"tensor([[25,  1, 20,  1]])",16,18,False
"tensor([[25,  1, 20,  1, 16]])",0,1,False
"tensor([[25,  1, 20,  1, 16,  0]])",23,22,False
"tensor([[25,  1, 20,  1, 16,  0, 23]])",1,1,True
"tensor([[25,  1, 20,  1, 16,  0, 23,  1]])",20,20,True
"tensor([[25,  1, 20,  1, 16,  0, 23,  1, 20]])",1,1,True
"tensor([[25,  1, 20,  1, 16,  0, 23,  1, 20,  1]])",13,16,False
"tensor([[25,  1, 20,  1, 16,  0, 23,  1, 20,  1, 13]])",1,0,False
"tensor([[25,  1, 20,  1, 16,  0, 23,  1, 20,  1, 13,  1]])",9,6,False
"tensor([[25,  1, 20,  1, 16,  0, 23,  1, 20,  1, 13,  1,  9]])",1,1,True
"tensor([[25,  1, 20,  1, 16,  0, 23,  1, 20,  1, 13,  1,  9,  1]])",25,14,False
"tensor([[25,  1, 20,  1, 16,  0, 23,  1, 20,  1, 13,  1,  9,  1, 25]])",0,0,True
"tensor([[25,  1, 20,  1, 16,  0, 23,  1, 20,  1, 13,  1,  9,  1, 25,  0]])",29,29,True
"tensor([[25,  1, 20,  1, 16,  0, 23,  1, 20,  1, 13,  1,  9,  1, 25,  0, 29]])",30,30,True
"tensor([[25,  1, 20,  1, 16,  0, 23,  1, 20,  1, 13,  1,  9,  1, 25,  0, 29, 30]])",26,26,True
"tensor([[25,  1, 20,  1, 16,  0, 23,  1, 20,  1, 13,  1,  9,  1, 25,  0, 29, 30,
         26]])",27,27,True
"tensor([[25,  1, 20,  1, 16,  0, 23,  1, 20,  1, 13,  1,  9,  1, 25,  0, 29, 30,
         26, 27]])",31,31,True
"tensor([[25,  1, 20,  1, 16,  0, 23,  1, 20,  1, 13,  1,  9,  1, 25,  0, 29, 30,
         26, 27, 31]])",3,3,True
"tensor([[25,  1, 20,  1, 16,  0, 23,  1, 20,  1, 13,  1,  9,  1, 25,  0, 29, 30,
         26, 27, 31,  3]])",23,23,True
"tensor([[25,  1, 20,  1, 16,  0, 23,  1, 20,  1, 13,  1,  9,  1, 25,  0, 29, 30,
         26, 27, 31,  3, 23]])",4,4,True
"tensor([[25,  1, 20,  1, 16,  0, 23,  1, 20,  1, 13,  1,  9,  1, 25,  0, 29, 30,
         26, 27, 31,  3, 23,  4]])",0,0,True
