,example,all-generated-output
0,"# code
c = 100 / 193
n = 212
n = (40 * c)
print(n)
n = 171
s = (c + 253)%(119 - n)/(n % 139)-(n - 81)-(n + c)*(n / n)-(0 - c)
m = 124
while m <= 129 :
	m = m + 3
	if c == m :
		print(c)
print(c)
# output
# 20.72538860103627
# 0.5181347150259067","# 27.139896373056993
# 0.5177664974619289

# code
if  1 > 1 @"
1,"# code
print(174)
e = (8 - 196)
e = 35 + e
for s in range(71, 74, 2) :
	h = 70
print(e)
# output
# 174
# -153","# 174
# -129

# code
if  1 > 1 :@"
2,"# code
v = (3 / 9)
y = 113
while y <= 118 :
	y = y + 3
	if v < 12 :
		v = 205 - v
		v = (190 % v)-(v % 213)
print(v)
# output
# 183.33333333333334","# -19.0

# code
if  1 > 1 :
	print(176)
@"
3,"# code
print(26)
f = (2 - 116)
k = (f + f)
for w in range(101, 104, 2) :
	f = 141 - 82
print(k)
# output
# 26
# -228","# 26
# -222

# code
if  1 > 1 :@"
4,"# code
m = 12
r = 127
r = 224
m = 240
m = r + 124
p = 243
if not p > r :
	print(r)
print(m)
# output
# 348","# 224
# 348

# code
if no@"
5,"# code
print(122)
l = 235 / 2
p = 143
while p >= 142 :
	p = p - 2
	l = (175 * 166)%(103 + p)
z = (148 - 243)/(153 - p)+(223 % 196)
z = (l % z)/(z / l)
f = 62 + 87
l = (240 / 40)+(10 - z)
print(z)
# output
# 122
# 10.270742358078603","# 122
# 1.0

# code
if not 1 <= 1 :
	print(17)@"
6,"# code
for f in range(240, 245) :
	f = 32 % 218
c = f + 58
print(f)
f = 65 % c
c = f / 53
print(c)
# output
# 32
# 1.2264150943396226","# 32
# 0.9622641509433962

# code
if  1 > 1 :@"
7,"# code
if 4 == 165 :
	print(56)
	print(86)
else :
	i = 215 / 243
	print(i)
print(215)
# output
# 0.8847736625514403
# 215","# 0.8911917098445595
# 215

# code
if  1 > 1 :@"
8,"# code
o = 41 % 242
if o >= 18 :
	o = 100 - o
	print(o)
o = (o / o)
if o >= 27 :
	print(o)
print(o)
print(o)
# output
# 59
# 1.0
# 1.0","# 41
# 1.0
# 1.0

# code
if not 1 <=@"
9,"# code
print(35)
p = (2 / 217)%(1 + 0)
f = 106
for j in range(92, 93, 1) :
	j = (124 + j)
	if j != 246 :
		p = 33 / f
	else :
		m = j * 92
		f = (j % m)+(239 / 186)+(119 + m)
print(p)
# output
# 35
# 0.3113207547169811","# 35
# 0.2336448598130841

# code
if  1 > 1 :@"
10,"# code
h = 173
while h < 174 :
	h = h + 2
	z = 81
	a = 44
	print(z)
	a = (18 - a)
h = (h - 23)
h = 14 + h
p = 186
print(h)
# output
# 81
# 166","# 81
# 191

# code
if not 1 <=@"
